timeinterval,price_shortage,price_surplus,regulation_state,jaar
2015-01-05 03:00:00,-432.6,-432.6,-1,2015
2015-01-05 03:15:00,-432.6,-432.6,-1,2015
2015-01-05 03:30:00,-432.6,-432.6,-1,2015
2015-01-05 03:45:00,23.5,23.5,-1,2015
2015-01-05 04:00:00,37.17,32.11,2,2015
2015-01-05 04:15:00,-150.03,-150.03,-1,2015
2015-01-05 04:30:00,32.99,29.33,2,2015
2015-01-05 04:45:00,32.99,32.99,1,2015
2015-01-05 05:00:00,36.48,-150.03,2,2015
2015-01-05 05:15:00,-150.03,-150.03,-1,2015
2015-01-05 05:30:00,40.69,-150.03,2,2015
2015-01-05 05:45:00,41.1,41.1,1,2015
2015-01-05 06:00:00,51.65,-96.5,2,2015
2015-01-05 06:15:00,45.38,-150.03,2,2015
2015-01-05 06:30:00,51.39,-150.03,2,2015
2015-01-05 06:45:00,56.38,56.38,1,2015
2015-01-05 07:00:00,69.02,28.38,2,2015
2015-01-05 07:15:00,350.02,-150.03,2,2015
2015-01-05 07:30:00,350.02,38.63,2,2015
2015-01-05 07:45:00,51.73,35.2,2,2015
2015-01-05 08:00:00,55.89,35.99,2,2015
2015-01-05 08:15:00,35.2,35.2,-1,2015
2015-01-05 08:30:00,35.2,35.2,-1,2015
2015-01-05 08:45:00,30.03,30.03,-1,2015
2015-01-05 09:00:00,35.42,35.42,-1,2015
2015-01-05 09:15:00,35.2,35.2,-1,2015
2015-01-05 09:30:00,35.2,35.2,-1,2015
2015-01-05 09:45:00,34.99,34.99,-1,2015
2015-01-05 10:00:00,36.2,36.2,-1,2015
2015-01-05 10:15:00,42.2,36.2,2,2015
2015-01-05 10:30:00,44.02,44.02,1,2015
2015-01-05 10:45:00,42.2,42.2,1,2015
2015-01-05 11:00:00,42.2,42.2,1,2015
2015-01-05 11:15:00,42.2,42.2,1,2015
2015-01-05 11:30:00,37.69,37.69,1,2015
2015-01-05 11:45:00,48.2,48.2,1,2015
2015-01-05 12:00:00,350.02,350.02,1,2015
2015-01-05 12:15:00,48.2,48.2,1,2015
2015-01-05 12:30:00,62.02,62.02,1,2015
2015-01-05 12:45:00,42.2,42.2,1,2015
2015-01-05 13:00:00,115.02,115.02,1,2015
2015-01-05 13:15:00,46.52,46.52,1,2015
2015-01-05 13:30:00,44.67,44.67,1,2015
2015-01-05 13:45:00,44.02,44.02,1,2015
2015-01-05 14:00:00,43.82,43.82,1,2015
2015-01-05 14:15:00,0.0,0.0,0,2015
2015-01-05 14:30:00,0.0,0.0,0,2015
2015-01-05 14:45:00,37.69,37.69,1,2015
2015-01-05 15:00:00,42.2,42.2,1,2015
2015-01-05 15:15:00,37.69,37.69,1,2015
2015-01-05 15:30:00,42.2,42.2,1,2015
2015-01-05 15:45:00,42.2,42.2,1,2015
2015-01-05 16:00:00,51.78,51.78,1,2015
2015-01-05 16:15:00,0.0,0.0,0,2015
2015-01-05 16:30:00,0.0,0.0,0,2015
2015-01-05 16:45:00,35.2,35.2,-1,2015
2015-01-05 17:00:00,0.0,0.0,0,2015
2015-01-05 17:15:00,41.95,41.95,-1,2015
2015-01-05 17:30:00,36.2,36.2,-1,2015
2015-01-05 17:45:00,37.18,37.18,-1,2015
2015-01-05 18:00:00,40.7,40.7,-1,2015
2015-01-05 18:15:00,0.0,0.0,0,2015
2015-01-05 18:30:00,41.53,41.53,-1,2015
2015-01-05 18:45:00,41.53,41.53,-1,2015
2015-01-05 19:00:00,45.04,45.04,1,2015
2015-01-05 19:15:00,42.2,42.2,1,2015
2015-01-05 19:30:00,0.0,0.0,0,2015
2015-01-05 19:45:00,0.0,0.0,0,2015
2015-01-05 20:00:00,115.0,115.0,1,2015
2015-01-05 20:15:00,350.02,34.99,2,2015
2015-01-05 20:30:00,350.02,23.5,2,2015
2015-01-05 20:45:00,33.59,33.59,-1,2015
2015-01-05 21:00:00,350.02,37.33,2,2015
2015-01-05 21:15:00,350.02,37.33,2,2015
2015-01-05 21:30:00,350.02,28.5,2,2015
2015-01-05 21:45:00,28.5,28.5,-1,2015
2015-01-05 22:00:00,45.59,28.82,2,2015
2015-01-05 22:15:00,44.6,28.82,2,2015
2015-01-05 22:30:00,34.5,34.5,1,2015
2015-01-05 22:45:00,30.5,35.1,2,2015
2015-01-05 23:00:00,350.12,32.59,2,2015
2015-01-05 23:15:00,350.12,350.12,1,2015
2015-01-05 23:30:00,38.54,30.76,2,2015
2015-01-05 23:45:00,39.86,35.41,2,2015
2015-01-06 00:00:00,35.12,33.85,2,2015
2015-01-06 00:15:00,350.12,350.12,1,2015
2015-01-06 00:30:00,39.86,39.86,1,2015
2015-01-06 00:45:00,40.39,40.39,1,2015
2015-01-06 01:00:00,110.2,110.2,1,2015
2015-01-06 01:15:00,110.2,110.2,1,2015
2015-01-06 01:30:00,42.12,42.12,1,2015
2015-01-06 01:45:00,38.99,38.99,1,2015
2015-01-06 02:00:00,47.2,47.2,1,2015
2015-01-06 02:15:00,350.12,350.12,1,2015
2015-01-06 02:30:00,39.15,39.15,1,2015
2015-01-06 02:45:00,44.34,44.34,1,2015
2015-01-06 03:00:00,36.5,36.5,1,2015
2015-01-06 03:15:00,46.12,46.12,1,2015
2015-01-06 03:30:00,46.12,46.12,1,2015
2015-01-06 03:45:00,44.56,44.56,1,2015
2015-01-06 04:00:00,55.12,55.12,1,2015
2015-01-06 04:15:00,43.68,43.68,1,2015
2015-01-06 04:30:00,60.99,60.99,1,2015
2015-01-06 04:45:00,43.46,43.46,1,2015
2015-01-06 05:00:00,45.96,45.96,1,2015
2015-01-06 05:15:00,41.12,41.12,1,2015
